ID,Ethylbenzene,"m,p-Xylene",o-Xylene,Propylbenzene,m-Ethyltoluene,C3.alkylbenzene.unid.1,C3.alkylbenzene.unid.2,o-Ethyltoluene,"1,2,4,-Trimethylbenzene","1,2,3,-Trimethylbenzene",C4.alkylbenzene.unid.1,C4.alkylbenzene.unid.2,C4.alkylbenzene.unid.3,C4.alkylbenzene.unid.4,C4.alkylbenzene.unid.5
5,0.351984059,1.460339189,0.54716262,0.167717592,0.688942675,0.280542084,0.343724625,0.257411929,1.080044951,0.224611732,0.0921459,0.171054219,0.12205395,0.171544882,0.286977801
5,0.36312023,1.473057975,0.563339231,0.17087531,0.690598461,0.27706893,0.345293978,0.261360574,1.068993612,0.224411911,0.090811962,0.172780897,0.124906069,0.177320432,0.288600894
5,0.359520938,1.456365021,0.556309452,0.166127888,0.686064899,0.276952178,0.340922717,0.254081982,1.067544482,0.228442883,0.090484759,0.169652596,0.124687166,0.176253332,0.290515075
5,0.351584581,1.394928808,0.522870598,0.15711014,0.621601218,0.255228271,0.315797822,0.241752524,0.948342524,0.202141044,0.08161493,0.152294541,0.110872421,0.154512729,0.255958392
5,0.423344285,1.719995657,0.665941677,0.20452725,0.845026516,0.336273556,0.419211619,0.319987604,1.354650589,0.273572436,0.110346202,0.210296684,0.148727808,0.212820745,0.349493055
5,0.371831569,1.485443272,0.57311466,0.174932605,0.710452548,0.286344924,0.355688431,0.265890867,1.090236805,0.233463164,0.092444464,0.177154481,0.126404097,0.178487055,0.292534073
5,0.342870905,1.353914359,0.520704746,0.151456837,0.608769542,0.244889521,0.304980683,0.224473365,0.907227777,0.19232672,0.075283801,0.141133507,0.099889563,0.141284801,0.232176028
6,0.440958506,1.528495262,0.574572283,0.128569453,0.416283244,0.178774616,0.210390654,0.170432285,0.644717329,0.137063712,0.039544339,0.088751137,0.061142321,0.075761641,0.108449746
6,0.424995639,1.478552994,0.55440666,0.122011443,0.398925343,0.173224077,0.203179245,0.165959693,0.621525241,0.129629207,0.039347127,0.087503535,0.059791576,0.073580826,0.10404332
6,0.392759405,1.3633903,0.510505126,0.110326928,0.364929251,0.155904591,0.184254169,0.149917129,0.563937922,0.117723213,0.034353397,0.078310906,0.054658224,0.067820002,0.09618116
6,0.38451976,1.342122687,0.512985649,0.118152793,0.39574018,0.170578266,0.20234131,0.166318099,0.639704885,0.138575005,0.040979392,0.094133553,0.06689247,0.082021587,0.119099406
6,0.425202138,1.478669965,0.550885973,0.119353997,0.389406451,0.165813077,0.19664811,0.160095237,0.599798353,0.12501285,0.034689291,0.081363011,0.056486175,0.070043662,0.097887485
6,0.433862083,1.495194485,0.556436461,0.124121138,0.404431652,0.173712722,0.207240871,0.167322391,0.635502519,0.133415466,0.039885448,0.090818163,0.062135375,0.076442979,0.10919293
